Make,Model,Trim,Size
Pontiac,G5,,R
Pontiac,G6,,R
Pontiac,G8,,R
Pontiac,Grand Am,,R
Pontiac,Grand Prix,,R
Pontiac,GTO,,R
Pontiac,LeMans,,R
Pontiac,Montana,,XL
Pontiac,Parisienne,,R
Pontiac,Phoenix,,R
Pontiac,Safari,,XL
Pontiac,Solstice,,R
Pontiac,Sunbird,,R
Pontiac,Sunfire,,R
Pontiac,Torrent,,XL
Pontiac,Trans Am,,R
Pontiac,Trans Sport,,XL
Pontiac,Vibe,,R
Porsche,911,,R
Porsche,911 C4,,R
Porsche,911 Turbo,,R
Porsche,924,,R
Porsche,928,,R
Porsche,944,,R
Porsche,968,,R
Porsche,993,,R
Porsche,996,,R
Porsche,997,,R
Porsche,Boxster,,R
Porsche,C4,,R
Porsche,Carrera,,R
Porsche,Carrera,4,R
Porsche,Cayanne,,XL
Porsche,Cayenne,S,XL
Porsche,Cayman,,R
Porsche,Cayman,S,R
Porsche,Panamera,,R
Porsche,Targa,,R
Range Rover,HSE,,XL
Renault,Fuego,,R
Renault,Sportwagon,,XL
Rolls Royce,phantom,,R
Saab,9-2x,,R
Saab,3-Sep,,R
Saab,5-Sep,,R
Saab,7-Sep,,XL
Saab,900,,R
Saab,9000,,R
Saab,93 Aero,,R
Saab,Aero,,R
Saab,Convertible,,R
Saab,Wagon,,R
Saturn,Astra,,R
Saturn,Aura,,R
Saturn,Ion,,R
Saturn,L100,,R
Saturn,L200,,R
Saturn,L300,,R
Saturn,LS,,R
Saturn,LS1,,R
Saturn,LS2,,R
Saturn,LW1,,XL
Saturn,LW2,,XL
Saturn,LW200,,XL
Saturn,LW300,,XL
Saturn,Outlook,,XL
Saturn,SC,,R
Saturn,SC1,,R
Saturn,SC2,,R
Saturn,Sky,,R
Saturn,SL,,R
Saturn,SL1,,R
Saturn,SL2,,R
Saturn,SW1,,XL
Saturn,SW2,,XL
Saturn,VUE,,XL
Scion,Cube,,XL
Scion,TC,,R
Scion,XA,,R
Scion,XB,,R
Scion,XD,,R
Smart,Fortwo,,R
Smart,Passion,,R
Smart,Pure,,R
Subaru,B9 Tribeca,,XL
Subaru,Baja,,XL
Subaru,Brat,,R
Subaru,DL,,R
Subaru,Forester,,XL
Subaru,GL,,R
Subaru,GL-10,,R
Subaru,Impreza,,R
Subaru,Imprezat,Outback Spor,XL
Subaru,Impreza,WRX,R
Subaru,Impreza,WRX Wagon,XL
Subaru,Justy,,R
Subaru,Legacy,,R
Subaru,Legacy,Outback,XL
Subaru,Loyale,,R
Subaru,RX,,R
Subaru,STD,,R
Subaru,STi,,R
Subaru,SVX,,R
Subaru,WRX,,R
Subaru,XT,,R
Subaru,XT6,,R
Suzuki,Aerio,,R
Suzuki,Esteem,,R
Suzuki,Grand Vitara,,XL
Suzuki,Rhino,,R
Suzuki,Samurai,,XL
Suzuki,Sidekick,,XL
Suzuki,Swift,,R
Suzuki,SX4,,XL
Suzuki,Vitara,,XL
Suzuki,X-90,,XL
Suzuki,XL-7,,XL
Tesla,Roadster,,R
Toyota,4Runner,,XL
Toyota,Alessandro Volta,,R
Toyota,Avalon,,R
Toyota,Camry,,R
Toyota,Camry 1999,,R
Toyota,Celica,,R
Toyota,Celica Supra,,R
Toyota,Corolla,,R
Toyota,Corolla,DX,XL
Toyota,Corolla,LE,R
Toyota,Cressida,,R
Toyota,Echo,,R
Toyota,Fit,,R
Toyota,FJ Cruiser,,XL
Toyota,Highlander,,XL
Toyota,Hybrid,,R
Toyota,Insight,,R
Toyota,Land Cruiser,,XL
Toyota,Matrix,,R
Toyota,Minivan,,XL
Toyota,MR2,,R
Toyota,MR2 Spyder,,R
Toyota,Paseo,,R
Toyota,Pickup,,XL
Toyota,Previa,,XL
Toyota,Prius,,R
Toyota,RAV4,,XL
Toyota,S Runner,,XL
Toyota,Sequoia,,XL
Toyota,Sienna,,XL
Toyota,SLE V6,,R
Toyota,Solara,,R
Toyota,SR5,,XL
Toyota,Starlet,,R
Toyota,Supra,,R
Toyota,T100,,XL
Toyota,Tacoma,,XL
Toyota,Tercel,,R
Toyota,Truck,,XL
Toyota,Tundra,,XL
Toyota,Van,,XL
Toyota,Venza,,R
Toyota,Yaris,,R
Volkswagen,Beetle,,R
Volkswagen,Bug,,R
Volkswagen,Cabrio,,R
Volkswagen,Cabriolet,,R
Volkswagen,Camper,,XL
Volkswagen,cc,,R
Volkswagen,Corrado,,R
Volkswagen,Eos,,R
Volkswagen,Eurovan,,XL
Volkswagen,Fox,,R
Volkswagen,Golf,,R
Volkswagen,Golf,GTI,R
Volkswagen,Jetta,,R
Volkswagen,Jetta,III,R
Volkswagen,Karmann,,R
Volkswagen,Micro Bus,,R
